national_id,full_name,dob,nationality,is_blacklisted,past_default,credit_history_years
13763931047,Mai Huu Diep,6/10/2004,Vietnam,1,1,1
68573593128,Pham Hoang Anh,10/10/2000,Vietnam,1,1,4
47376119210,Dang Thuy Yen,7/20/1973,Vietnam,1,1,1
13415208036,Truong Huu Son,8/5/1978,Vietnam,1,1,1
65381468948,Huynh Huu Son,3/14/1963,Vietnam,1,1,1
91198257594,Tran Ngoc Khoa,2/11/1986,Vietnam,0,0,7
53331292621,Pham Tuan Loc,3/1/1975,Vietnam,0,0,0
79333059922,Ho Manh Trang,8/30/1992,Vietnam,0,0,4
48879994029,Vo Phuc Giang,10/14/1942,Vietnam,1,1,4
38950854863,Nguyen Huy Khang,8/16/1985,Vietnam,1,1,10
42305025865,Lam Tien Mai,7/5/1970,Vietnam,0,0,5
84512644700,Huynh Tuan Son,4/20/1968,Vietnam,0,0,0
80437398234,Phan Dinh My,11/25/2004,Vietnam,0,0,0
28575737249,Huynh Gia Trung,11/17/1985,Vietnam,1,1,4
43972517843,Ho Xuan Son,12/24/1975,Vietnam,0,0,4
34238951192,Tran Manh Binh,8/15/2005,Vietnam,0,0,3
27184862149,Trinh Hoang Nam,1/12/2006,Vietnam,0,0,2
25971897031,Doan Bao Giang,5/29/1995,Vietnam,1,0,6
16595578957,Dang Thu Tai,9/11/1986,Vietnam,0,0,0
93795817820,To Minh Kien,1/1/1970,Vietnam,1,1,6
34510034234,Vo Tuan Nghia,10/23/1978,Vietnam,0,0,6
34898371740,Pham Manh Huong,5/25/2004,Vietnam,1,0,1
28873135288,Phung Thi Trung,5/24/1972,Vietnam,1,1,26
68667751886,Trinh Thanh Yen,6/3/1966,Vietnam,0,0,7
96374271724,Vo Quoc Phuc,10/9/2005,Vietnam,0,0,0
26472245562,Ngo Anh Mai,2/21/1996,Vietnam,1,0,10
54355601103,Nguyen Tien Huong,8/18/2006,Vietnam,0,0,0
32552004521,Doan Dinh Hoa,3/26/1979,Vietnam,0,0,0
31462217017,Ly Phuc Phong,12/2/1969,Vietnam,0,0,0
44253932451,Dao Huy Dat,11/18/2003,Vietnam,0,0,2
12915324396,Dao Quang Lan,4/30/1981,Vietnam,0,0,0
77293510937,Hoang Van Nghia,2/26/1962,Vietnam,1,0,1
11251149237,Dang Xuan Tu,7/9/1980,Vietnam,0,0,7
68604968231,Kieu Dinh Khang,10/18/1955,Vietnam,0,0,0
23479486932,Dao My Nam,4/20/1983,Vietnam,0,0,0
27816055647,Ngo Hoang Thao,10/4/2001,Vietnam,1,0,2
97065290762,To Tuan Thao,9/28/1989,Vietnam,1,1,6
31756022206,Hoang Dinh Trung,9/26/1979,Vietnam,0,0,18
70229885466,Huynh Thanh Diep,7/11/1967,Vietnam,1,0,8
33259434545,Dao Thanh Kien,9/25/1973,Vietnam,1,1,8
17933907665,Chau Thuy Thinh,10/18/1995,Vietnam,0,0,0
41958209780,Hoang Thi My,1/31/1982,Vietnam,0,0,11
69353588851,To Tuan Ha,5/27/1975,Vietnam,0,0,6
55073084599,Do Diem Diep,8/6/1984,Vietnam,1,0,2
68055313719,Bui Diem Hieu,8/31/1976,Vietnam,1,0,12
58711467631,Phung Xuan Son,10/11/1980,Vietnam,1,1,2
46532060132,To Huy Nam,12/23/1957,Vietnam,1,1,13
98958506354,Ho Manh Phuc,2/16/2001,Vietnam,1,1,4
59609714683,Dinh Nhu Giang,6/6/1987,Vietnam,0,0,0
76458852482,Vo Tuyet Tai,4/28/1989,Vietnam,1,1,5
27999345797,Vo Anh Thang,4/16/2004,Vietnam,0,0,0
13756797386,To Huu Kien,6/5/1996,Vietnam,1,0,5
97353729565,Trinh Phuong Quy,4/29/1991,Vietnam,0,0,0
61532597001,To My Vy,10/24/1953,Vietnam,0,0,0
36720831396,Trinh Thuy Loc,6/7/2004,Vietnam,1,0,1
50872681102,Le Thanh Diep,10/17/1936,Vietnam,0,0,2
68120794939,Dang Phuc Nhan,3/20/1994,Vietnam,1,1,1
69749880717,Duong Ngoc My,12/12/1971,Vietnam,0,0,0
36877583999,Doan Phuong Yen,3/27/2005,Vietnam,1,0,1
94917438539,Ly Tuyet Phong,7/8/1968,Vietnam,1,1,25
84636202726,Ngo Van Thinh,10/18/1982,Vietnam,0,0,0
55468259762,Tran Tien Nhat,8/29/1975,Vietnam,0,0,8
33213850204,Vo Diem Mai,12/1/1958,Vietnam,1,0,6
11541402470,Tran Huy Loc,5/4/2002,Vietnam,0,0,0
51837325228,Dinh Tuan Linh,8/7/1984,Vietnam,0,0,1
52752688978,Dang Thanh Yen,5/30/1991,Vietnam,1,0,11
85830926349,Nguyen Bao Hieu,11/11/1964,Vietnam,1,1,20
39006670130,Tran Ngoc Huong,12/23/2004,Vietnam,0,0,0
57602758595,Ngo Van Thang,12/27/2002,Vietnam,0,0,0
87751613435,Vo Phuc Ha,6/28/2001,Vietnam,1,0,3
83751506323,Hoang Quang Dung,2/9/2006,Vietnam,1,0,2
90650571078,Bui Minh Khang,3/25/1977,Vietnam,1,0,12
37601169230,Tran Gia Giang,9/20/1963,Vietnam,0,0,0
81314289491,Dinh Tuan Quy,8/19/1977,Vietnam,1,1,5
50975473308,Tran Gia Hoa,9/19/1992,Vietnam,1,1,5
91333060739,Ngo Thanh Diep,1/31/1934,Vietnam,0,0,0
17835201939,Trinh Van Ha,2/10/1962,Vietnam,1,1,4
87725775303,Trinh Tuyet Kien,7/13/1950,Vietnam,0,0,5
86079818970,Dao Tuan Toan,5/6/1981,Vietnam,1,0,15
16013716553,Mac Xuan Khang,3/10/1994,Vietnam,1,0,3
21890311356,Doan Anh Dung,11/13/1962,Vietnam,1,1,5
54472047925,Duong Thi Giang,4/10/1933,Vietnam,1,1,7
60022389129,Ho Phuong Loc,12/10/1988,Vietnam,1,0,1
82726894556,Mac Quang Huong,1/22/1997,Vietnam,1,1,5
84542849001,Phung Tien Khang,4/10/1970,Vietnam,0,0,6
35246779078,Le Quoc Mai,10/26/1998,Vietnam,1,1,4
42728791519,Phan Ngoc Thang,8/19/1995,Vietnam,1,1,3
33845850771,Ngo My Dat,8/2/1984,Vietnam,1,1,19
79824761992,Kieu Bao Yen,12/14/1987,Vietnam,1,1,15
53773352796,Ho Quoc Thinh,4/7/1975,Vietnam,1,1,17
21611207857,Vo Nhu Nghia,11/14/1972,Vietnam,0,0,0
39576596182,Chau Tien Phuc,2/26/2001,Vietnam,1,0,2
53392557569,Vu Huu Hieu,3/20/1982,Vietnam,1,0,9
16369254351,Le Tuyet Yen,10/27/1987,Vietnam,1,0,2
26403376392,Doan Thi Quy,7/20/2000,Vietnam,0,0,1
16324569416,Phan Quoc Toan,4/25/2003,Vietnam,0,0,2
36421821956,Kieu Dinh Phong,5/10/1993,Vietnam,0,0,0
14312017457,Huynh Huy Yen,1/6/1969,Vietnam,0,0,0
36645959838,Nguyen Quoc Thinh,4/27/1987,Vietnam,0,0,11
23991136519,Phung Quoc Loc,2/23/1967,Vietnam,1,0,2
43592747512,To Duc My,7/2/1988,Vietnam,0,0,13
37608689556,To Manh Dat,8/12/1994,Vietnam,0,0,0
93980594824,Dinh Bao Ha,3/26/2003,Vietnam,0,0,1
86393139118,Vu Manh Loc,1/13/1978,Vietnam,0,0,0
47144554933,Nguyen Nhu Phuc,3/29/1968,Vietnam,1,1,3
43796643475,Kieu Nhu Trang,5/15/1977,Vietnam,0,0,0
17961974901,Vu Tuan Trang,7/12/1964,Vietnam,1,1,22
46192138465,To Xuan Dung,8/5/1983,Vietnam,1,0,1
57650913450,Mai Thu Nam,9/14/1997,Vietnam,0,0,7
27722209272,Nguyen Huy Mai,8/21/1992,Vietnam,1,1,1
30231786920,Vu Tuyet Mai,6/11/1987,Vietnam,1,1,9
54106335564,Ngo Thi Nhan,5/17/1976,Vietnam,1,0,5
17323557256,Chau Van Anh,9/12/1992,Vietnam,0,0,1
52159025799,Kieu Xuan Thao,9/27/1988,Vietnam,0,0,0
67576942044,Duong Thi Hoa,9/27/1973,Vietnam,0,0,8
91051338231,Mac Minh Linh,6/24/2003,Vietnam,1,0,1
26942532242,Phan Quang Phong,10/11/1964,Vietnam,1,1,11
40137268162,Ho Minh Binh,9/20/2002,Vietnam,1,1,1
95666639131,Duong Tuyet Trang,6/13/1971,Vietnam,0,0,0
92693292802,Phan Bao Thao,8/20/1950,Vietnam,1,1,12
58107142332,Kieu Nhu Hieu,3/4/1962,Vietnam,1,1,1
22982976019,Dao Dinh Khoa,6/22/1977,Vietnam,1,1,6
69352420364,Dinh Anh Thao,1/24/2006,Vietnam,1,1,1
31243088319,Tran Huy Yen,2/8/1975,Vietnam,0,0,2
24294192251,Huynh Thi Anh,8/2/1994,Vietnam,1,1,1
12187230607,Nguyen Dinh Tu,12/13/1980,Vietnam,1,0,2
14006975712,Hoang Quoc Phuc,5/30/2001,Vietnam,0,0,2
28866395331,Mai My Son,10/15/1964,Vietnam,0,0,22
22709019239,Duong Van Dat,4/11/2002,Vietnam,0,0,0
97345569002,Mai Nhu Thang,10/22/1982,Vietnam,1,1,6
65752767265,Dao Nhu Thang,12/29/1941,Vietnam,1,0,27
96996643506,Kieu Ngoc Yen,10/26/1987,Vietnam,1,0,7
19094537786,Duong Gia Anh,7/25/1950,Vietnam,1,1,1
46159973514,Doan Minh Lan,2/18/1962,Vietnam,1,1,5
74758316596,Lam Thi My,1/18/1971,Vietnam,0,0,0
85453149100,Kieu Dinh Binh,11/3/1977,Vietnam,0,0,12
17817122997,Do Thuy Thinh,7/1/1971,Vietnam,0,0,20
64972235444,Huynh Phuc Thinh,4/29/1968,Vietnam,1,1,8
61181925374,Ly Xuan Hieu,11/23/2000,Vietnam,0,0,1
81323244263,Do Thuy Huong,3/15/1999,Vietnam,1,1,3
26871196962,Dao Minh Hieu,3/29/1970,Vietnam,1,0,6
78441545462,Le Phuong Huong,5/3/1969,Vietnam,1,0,7
78146890055,Huynh Quang Phong,11/12/1997,Vietnam,1,1,3
70235355091,Phan Xuan Tu,10/21/1968,Vietnam,1,0,5
26916382605,Vu Manh Son,11/19/1989,Vietnam,1,1,1
34450024018,To Huu Khang,2/10/2005,Vietnam,0,0,0
15136713421,Dang Nhu Khang,4/29/1972,Vietnam,0,0,3
55975453838,Doan Phuong Nam,5/9/1954,Vietnam,1,1,19
25827098413,Nguyen Huy Dat,7/16/2004,Vietnam,0,0,1
81457211886,Chau Quoc My,10/30/1967,Vietnam,1,1,3
95291848598,Dinh Phuc Linh,2/12/1974,Vietnam,0,0,0
70210590329,Tran Quang Phong,12/11/1961,Vietnam,0,0,2
48066748475,Trinh Dinh Mai,5/24/1963,Vietnam,1,1,18
27399464397,Hoang Huy Phuc,7/31/1984,Vietnam,1,1,9
57765756835,Truong Ngoc Loc,11/11/1983,Vietnam,0,0,10
33953766069,Hoang Duc Trung,9/15/1991,Vietnam,1,1,4
76703236588,Truong Thuy Khoa,9/24/1976,Vietnam,1,1,5
51066016436,Nguyen Huy Trang,8/22/1999,Vietnam,1,1,5
85559240029,Trinh Tuyet Lan,4/24/1958,Vietnam,1,0,18
52177333027,Chau Nhu Giang,8/26/2004,Vietnam,1,0,1
66103448018,Phung Tuan Mai,2/16/2000,Vietnam,1,0,1
26310187001,Mac Anh Dat,4/29/1975,Vietnam,0,0,0
49209386828,Le Bao Vy,3/4/1938,Vietnam,1,1,6
22478782494,Chau Tien Lan,3/21/1980,Vietnam,1,0,8
44903278006,Mai Duc Thang,12/25/2003,Vietnam,0,0,0
20975289143,Dao Diem Nhan,9/14/2008,Vietnam,1,1,1
85861928362,Bui Ngoc Thang,6/3/1935,Vietnam,0,0,7
83258735615,Ho Huy Khang,8/5/1974,Vietnam,1,0,16
84312429868,Phan Tien Tai,7/10/2001,Vietnam,1,1,3
87807417310,Trinh Thuy Nam,10/20/1950,Vietnam,1,1,3
20734452824,Pham Minh Khoa,9/18/1984,Vietnam,0,0,0
14616429632,Tran Phuong Huong,5/10/1974,Vietnam,0,0,0
65018661560,Lam Bao Diep,2/3/1994,Vietnam,1,1,3
87625057393,Chau Quang Diep,1/24/1964,Vietnam,1,1,14
81739670147,Dinh Thi Dung,1/7/1986,Vietnam,1,1,2
16771579156,Ly Diem Diep,11/17/2007,Vietnam,0,0,0
96352833537,Ho My Nam,12/28/2005,Vietnam,1,1,2
33981638807,Phung Dinh Khang,10/31/1950,Vietnam,1,1,6
71273406246,Dinh Tien Dung,8/29/1932,Vietnam,1,0,6
98915546429,Hoang Manh Hieu,10/20/1975,Vietnam,1,0,16
19574982311,Ly Manh Cuong,1/13/1967,Vietnam,1,1,10
56301474302,Ly Thi Linh,11/22/1968,Vietnam,1,0,12
86783261414,Huynh Quang Nhat,1/1/1946,Vietnam,0,0,0
86946992638,Hoang Xuan Linh,11/13/1996,Vietnam,0,0,0
40873755804,Mac Minh Nhan,2/5/1994,Vietnam,1,1,2
74237207450,Ly Minh Linh,10/1/1979,Vietnam,1,1,25
56156432035,Huynh Diem Son,6/10/2008,Vietnam,1,1,1
32073710950,Pham Hoang Khoa,10/22/1965,Vietnam,1,0,14
11158472515,Tran Thanh Ha,6/14/2006,Vietnam,1,1,1
53803650037,Bui Bao My,3/2/1996,Vietnam,1,1,2
65086487155,Lam Huy Phuc,12/1/1962,Vietnam,1,1,3
14886639633,Tran Duc Lan,12/19/1969,Vietnam,0,0,0
33940654825,Phan Tuan Binh,8/19/1991,Vietnam,0,0,0
15879627729,Huynh Dinh Phong,8/29/1956,Vietnam,0,0,0
91220244640,Do Hoang Phong,6/29/1991,Vietnam,0,0,9
36952959379,Dang Thuy Thao,7/4/2007,Vietnam,0,0,0
93685369549,Duong Duc Loc,5/13/1998,Vietnam,0,0,0
42110099063,Mac Manh Binh,11/13/1992,Vietnam,0,0,1
39481029360,Phung Duc Giang,6/23/1975,Vietnam,1,0,21
96159930794,Ngo Bao Linh,2/18/1973,Vietnam,1,1,16
34956225489,Hoang Van Yen,1/19/1976,Vietnam,1,1,8
33716551852,To Phuong Lan,3/29/1968,Vietnam,1,1,3
76597390923,Ngo Van Hieu,12/25/1987,Vietnam,1,1,7
68064758365,Do Nhu Thao,3/10/1942,Vietnam,0,0,0
87068199336,Dinh Gia Dat,3/7/1989,Vietnam,0,0,0
47399575619,Duong Duc Nhan,6/15/1992,Vietnam,1,0,1
90812119779,Mai Xuan Yen,11/9/1982,Vietnam,1,1,7
82506816653,Trinh Duc Cuong,3/24/1976,Vietnam,0,0,2
66776202256,Dang Diem Trang,7/19/1975,Vietnam,1,1,18
44290601211,Do Tuan Hieu,9/7/1937,Vietnam,1,1,3
93394490115,Huynh Tuyet Dung,8/23/1969,Vietnam,0,0,0
42478672830,Chau Nhu Linh,8/1/1981,Vietnam,0,0,14
35519407257,Ho Tuan My,10/15/1970,Vietnam,0,0,0
82861515102,Vo Tuan Quy,11/7/1987,Vietnam,0,0,0
18680702771,Mai Duc Yen,8/4/1993,Vietnam,1,0,6
61586455614,Ho Hoang Nam,2/15/1988,Vietnam,0,0,3
70290710619,Ly Phuong Mai,12/27/2002,Vietnam,0,0,4
56642997441,Truong Quoc Nhan,7/10/1984,Vietnam,1,0,5
72145483976,Hoang Nhu Dat,10/20/1972,Vietnam,1,0,1
39414281428,Vo Quoc Thinh,3/16/2007,Vietnam,1,1,1
16749118570,Chau Quoc Nghia,12/3/2006,Vietnam,1,0,1
96564932706,Doan Tien Lan,12/19/1962,Vietnam,0,0,19
58988778392,To Duc Dung,9/6/1991,Vietnam,0,0,12
22144900798,Phung Duc Diep,7/23/2007,Vietnam,1,0,1
46150099972,Vo Tuan Yen,3/11/1986,Vietnam,0,0,6
86117045463,Truong Manh Thang,9/4/2002,Vietnam,0,0,0
40870301054,Lam Thi Trung,6/9/1993,Vietnam,1,1,5
11643880385,Ngo Thanh Dat,5/4/1950,Vietnam,1,1,21
60984607966,Huynh Hoang Loc,9/11/1986,Vietnam,0,0,14
78792476825,Trinh Quoc Khoa,6/27/1932,Vietnam,1,0,3
83358691663,Mai Thi Lan,1/6/1988,Vietnam,0,0,7
59110351193,Chau Tuan Trang,2/10/1988,Vietnam,1,1,3
66152993898,Dinh Thuy Thinh,7/19/1931,Vietnam,1,1,2
43292565788,Phan Phuong Quy,3/3/1995,Vietnam,1,0,5
95179787306,To Quoc Binh,1/10/1987,Vietnam,1,1,2
67841820511,Vu Bao Phong,11/9/1965,Vietnam,1,0,10
62455299727,Phung Quang Linh,1/21/1988,Vietnam,0,0,0
51683872654,Duong Gia Dat,11/15/1943,Vietnam,0,0,0
59614745517,Hoang My Quy,9/4/1965,Vietnam,1,0,10
41281197017,Doan Thu Phuc,2/17/1991,Vietnam,1,0,4
38876606223,Bui Anh Nghia,9/3/1964,Vietnam,0,0,0
34015248829,Ngo Duc Huong,8/7/1999,Vietnam,0,0,7
20569314767,Kieu Thuy Thinh,1/19/1966,Vietnam,0,0,16
94765819915,Dang Van Khang,9/19/2003,Vietnam,1,1,2
17854488657,Kieu Thi Loc,4/17/1993,Vietnam,1,1,7
26232608897,Ngo Huu Linh,3/16/1977,Vietnam,0,0,0
60941500044,Vu Tuyet Dat,5/11/1976,Vietnam,0,0,0
56649044815,Vo Minh Nam,11/19/1984,Vietnam,0,0,0
27985400567,Do Phuong Nhat,1/5/2002,Vietnam,0,0,0
57479699006,Nguyen Xuan Toan,11/17/1932,Vietnam,1,1,15
35597428274,Lam Bao Thang,12/24/1973,Vietnam,0,0,0
78308496823,Phan Phuong Nam,5/13/2001,Vietnam,1,1,4
71545057440,Trinh Hoang Son,4/17/1973,Vietnam,1,1,1
44180735284,Lam Tuan Loc,3/6/2008,Vietnam,1,1,1
94301648693,Ho Hoang Yen,1/7/1965,Vietnam,0,0,21
95939904460,Vu My Huong,7/26/1962,Vietnam,1,0,7
56686508470,Do Hoang Lan,3/21/1965,Vietnam,1,1,28
95667371094,Phung Huu Dat,11/19/1970,Vietnam,1,1,8
60833888411,Huynh Gia Dung,2/16/1979,Vietnam,0,0,6
16387941970,Kieu Dinh Diep,11/3/1971,Vietnam,1,0,21
71556899274,Chau Nhu Yen,1/23/1997,Vietnam,0,0,0
95147036292,To Ngoc Thinh,11/3/1985,Vietnam,0,0,13
27289013163,Do Tuyet Loc,2/2/1958,Vietnam,0,0,3
39221734478,Chau Thu Trang,11/19/1962,Vietnam,0,0,19
54117328388,Phung Huy Cuong,12/22/1989,Vietnam,1,1,5
21989087964,Le My Ha,1/11/1977,Vietnam,0,0,0
74326475977,Trinh Thu Loc,3/26/1993,Vietnam,1,0,12
57208682604,Pham Phuc Phong,9/10/1978,Vietnam,1,0,4
87549798120,Dinh Thu Linh,9/14/1967,Vietnam,1,1,6
92261727641,Dang Phuong Trung,10/22/1988,Vietnam,1,1,15
43098642326,Mai Thi Son,8/20/1981,Vietnam,0,0,10
14337107450,Ngo Thu Dat,5/6/1981,Vietnam,1,1,12
66288651942,Dao Van Nhan,8/26/1968,Vietnam,0,0,0
79326389023,Vu Huy Thinh,2/6/1973,Vietnam,1,1,7
78615629139,Kieu Gia Giang,7/11/2000,Vietnam,1,1,3
92290572510,Lam Phuc Yen,3/17/1931,Vietnam,1,0,4
66027351557,Mac Diem Thao,3/1/1975,Vietnam,0,0,0
35370642240,Hoang Thu Nhan,11/11/1964,Vietnam,1,0,14
29454977088,Vu Phuc Giang,8/8/1978,Vietnam,1,1,6
30654635913,Pham Nhu Hieu,7/4/1989,Vietnam,1,1,8
93261570401,Trinh Diem Nhan,5/10/1997,Vietnam,1,1,8
51660891252,Dinh Manh Khang,4/30/1961,Vietnam,1,0,5
43868302168,Phan Duc Anh,2/6/1975,Vietnam,0,0,15
58124132875,Bui Tien Tu,12/28/2004,Vietnam,0,0,0
49619274410,Tran Van Linh,9/16/1977,Vietnam,1,1,4
60325914991,Chau Thi Ha,7/8/1996,Vietnam,0,0,1
21896897068,Ho Bao Hieu,7/25/1961,Vietnam,0,0,0
61328223323,To Thi Giang,3/3/1993,Vietnam,0,0,0
44597356078,Pham Anh Anh,11/30/1963,Vietnam,0,0,1
20407749129,Vo Hoang Kien,8/3/1937,Vietnam,1,1,11
51656435801,Vo Huu Huong,6/5/1978,Vietnam,1,1,1
29176790905,Ho Huu Binh,2/7/1984,Vietnam,0,0,0
89711477099,Ho Huu Kien,4/16/1990,Vietnam,0,0,9
99867919692,Vo Anh Quy,4/13/1937,Vietnam,1,1,13
27810778448,Hoang Phuong Quy,12/11/2004,Vietnam,0,0,0
78256819028,Phung Ngoc Loc,12/9/1982,Vietnam,1,1,4
61431950519,Pham Van Son,10/10/1949,Vietnam,0,0,0
59683698266,Le Dinh Kien,9/16/2006,Vietnam,1,1,2
31337176704,Bui Tuyet Mai,12/1/1965,Vietnam,1,1,24
45038116745,Lam Phuong Thinh,6/24/1955,Vietnam,1,0,11
59659417801,Dang Tuyet Ha,3/25/1940,Vietnam,0,0,3
29283428470,Vu Diem Dat,12/7/2006,Vietnam,0,0,2
39134893430,Mai Thu Yen,9/10/1938,Vietnam,1,1,2
25495387227,Chau Hoang Nhan,10/6/1984,Vietnam,0,0,8
54358668884,To Gia Trung,5/24/1992,Vietnam,0,0,0
11902137724,Pham Manh Phong,9/9/1981,Vietnam,1,1,13
14927990583,Chau Xuan Dung,12/3/1972,Vietnam,0,0,2
20417702385,Ho Ngoc Khoa,12/17/1940,Vietnam,1,0,13
62627664789,Bui Minh Diep,9/18/2001,Vietnam,1,1,1
96925809461,Tran Nhu Hieu,12/19/1973,Vietnam,0,0,0
64368490624,Truong Manh Dat,7/2/1985,Vietnam,1,1,5
80679712799,Mai Phuong Trung,11/12/1990,Vietnam,1,0,11
17198897984,Hoang Thi Trang,11/23/1954,Vietnam,0,0,4
80389149955,Hoang Quang Tai,3/9/1970,Vietnam,1,0,9
19791242890,Hoang Minh Ha,3/28/1998,Vietnam,0,0,0
45803605125,Chau Xuan Huong,11/9/2005,Vietnam,1,0,1
49236095154,Do Thuy Trang,11/16/1935,Vietnam,0,0,0
83994314979,Doan Anh Thang,4/6/1977,Vietnam,0,0,0
99292167077,Mai Tuan Anh,6/24/2008,Vietnam,0,0,0
84775053626,Le Quang Nhan,1/17/1992,Vietnam,1,1,6
54588469755,Phan Thu Giang,3/23/2007,Vietnam,0,0,0
33674883073,Ly Thi Tai,8/13/1997,Vietnam,1,1,4
25552911100,Doan My Thao,5/29/1990,Vietnam,0,0,0
93541696560,Ngo Ngoc Son,3/29/1950,Vietnam,1,1,7
67584137340,Le Tuyet Mai,6/3/1978,Vietnam,1,1,4
96224358750,Trinh Gia Toan,3/10/1983,Vietnam,0,0,0
77702995796,Mac Tuan Khoa,12/28/1976,Vietnam,1,1,20
60026008215,Hoang Huy Thang,10/28/1984,Vietnam,1,1,5
24664254103,Hoang Thanh Nam,12/9/1974,Vietnam,1,1,8
46538102701,Phan Manh Loc,8/13/1990,Vietnam,1,1,4
21094854168,Mai Dinh Toan,10/12/1977,Vietnam,1,1,1
42299251745,Vu Thi Phong,2/28/1989,Vietnam,1,0,3
44761532724,Phan Thanh Nhan,2/9/1976,Vietnam,1,0,7
80866722540,Phung Quang Khang,10/20/1996,Vietnam,1,1,3
90242402526,Dao Thuy Nghia,9/27/1998,Vietnam,0,0,0
60473304087,Phung Huu Toan,4/4/1971,Vietnam,1,0,3
31658966154,Chau Dinh Linh,9/30/1958,Vietnam,0,0,17
45648009146,Truong Phuong Phong,11/19/1976,Vietnam,1,0,15
12735680331,Mai Tien Phuc,2/2/2007,Vietnam,1,0,1
10237987942,Tran Thu Cuong,12/9/1984,Vietnam,1,1,19
43912383307,Doan Minh Nhan,9/1/1997,Vietnam,1,1,1
80411988782,Duong Diem Dat,4/28/1963,Vietnam,1,1,2
63999949769,Tran Thuy Linh,4/18/1970,Vietnam,1,0,1
90490915291,Trinh Anh Phuc,9/16/1995,Vietnam,1,1,6
87569608261,Pham Diem Nghia,5/11/1993,Vietnam,1,1,3
82624886787,Ho Duc Huong,2/25/2007,Vietnam,0,0,0
96966374086,Vu Diem Toan,2/3/1984,Vietnam,1,0,2
91742284426,Duong Manh Diep,11/10/1973,Vietnam,1,0,16
42489516482,Ho Thi Giang,9/26/1966,Vietnam,1,0,17
17799259595,Kieu Quang Khang,3/17/1993,Vietnam,0,0,3
44959751178,Dang Duc My,12/12/2006,Vietnam,0,0,0
38993120411,Duong Anh Lan,8/13/1977,Vietnam,1,1,12
84811102649,Ho My Nam,9/2/1997,Vietnam,0,0,0
93448791505,Mai Tuyet Linh,12/1/1934,Vietnam,1,0,2
10016604792,Chau Manh Binh,11/27/1978,Vietnam,1,0,2
67309232889,Phung Tuan Nghia,1/8/1964,Vietnam,1,0,17
54317961282,Truong Huu Trung,12/11/2005,Vietnam,1,0,3
98732087721,Nguyen Quoc Huong,7/31/1991,Vietnam,0,0,0
38556053312,To Ngoc Phuc,1/11/1981,Vietnam,1,1,2
